,TNme,TID,ITNme
264,Sam Houston State,1358,sam-houston-state
265,Samford,1359,samford
266,San Diego,1360,san-diego
267,San Diego State,1361,san-diego-state
268,San Francisco,1362,san-francisco
269,San Jose State,1363,san-jose-state
270,Santa Clara,1365,santa-clara
271,Savannah State,1366,savannah-state
272,Seattle,1370,seattle
273,Seton Hall,1371,seton-hall
274,Siena,1373,siena
275,South Alabama,1375,south-alabama
276,South Carolina,1376,south-carolina
277,South Carolina State,1354,south-carolina-state
278,South Carolina Upstate,1367,south-carolina-upstate
279,South Dakota,1377,south-dakota
280,South Dakota State,1355,south-dakota-state
281,South Florida,1378,south-florida
282,Southeast Missouri State,1369,southeast-missouri-state
283,Southeastern Louisiana,1368,southeastern-louisiana
284,Southern,1380,southern
285,Southern California,1425,southern-california
286,Southern Illinois,1356,southern-illinois
287,Southern Methodist,1374,southern-methodist
288,Southern Mississippi,1379,southern-mississippi
289,Southern Utah,1381,southern-utah
290,St. Bonaventure,1382,st-bonaventure
291,St. Francis (NY),1383,st-francis-ny
292,St. John's (NY),1385,st-johns-ny
293,Stanford,1390,stanford
294,Stephen F. Austin,1372,stephen-f-austin
295,Stetson,1391,stetson
296,Stony Brook,1392,stony-brook
297,Syracuse,1393,syracuse
298,Tarleton State,1322,tarleton-state
299,Temple,1396,temple
300,Tennessee,1397,tennessee
301,Tennessee State,1398,tennessee-state
302,Tennessee Tech,1399,tennessee-tech
303,Tennessee-Martin,1404,tennessee-martin
304,Texas,1400,texas
305,Texas A&M,1401,texas-am
306,Texas A&M-Corpus Christi,1394,texas-am-corpus-christi
307,Texas Christian,1395,texas-christian
308,Texas Southern,1411,texas-southern
309,Texas State,1402,texas-state
310,Texas Tech,1403,texas-tech
311,Texas-Arlington,1426,texas-arlington
312,Texas-El Paso,1431,texas-el-paso
313,Texas-Rio Grande Valley,1410,texas-pan-american
314,Texas-San Antonio,1427,texas-san-antonio
315,Toledo,1405,toledo
316,Towson,1406,towson
317,Troy,1407,troy
318,Tulane,1408,tulane
319,Tulsa,1409,tulsa
320,UC-Davis,1413,california-davis
321,UC-Irvine,1414,california-irvine
322,UC-Riverside,1415,california-riverside
323,UC-San Diego,1159,california-san-diego
324,UC-Santa Barbara,1364,california-santa-barbara
325,UCLA,1417,ucla
326,University of California,1143,california
327,Utah,1428,utah
328,Utah State,1429,utah-state
329,Utah Valley,1430,utah-valley
330,VMI,1440,virginia-military-institute
331,Valparaiso,1434,valparaiso
332,Vanderbilt,1435,vanderbilt
333,Vermont,1436,vermont
334,Villanova,1437,villanova
335,Virginia,1438,virginia
336,Virginia Commonwealth,1433,virginia-commonwealth
337,Virginia Tech,1439,virginia-tech
338,Wagner,1447,wagner
339,Wake Forest,1448,wake-forest
340,Washington,1449,washington
341,Washington State,1450,washington-state
342,Weber State,1451,weber-state
343,West Virginia,1452,west-virginia
344,Western Carolina,1441,western-carolina
345,Western Illinois,1442,western-illinois
346,Western Kentucky,1443,western-kentucky
347,Western Michigan,1444,western-michigan
348,Wichita State,1455,wichita-state
349,William & Mary,1456,william-mary
350,Winthrop,1457,winthrop
351,Wisconsin,1458,wisconsin
352,Wofford,1459,wofford
353,Wright State,1460,wright-state
354,Wyoming,1461,wyoming
355,Xavier,1462,xavier
356,Yale,1463,yale
357,Youngstown State,1464,youngstown-state
