Season,PlayerID,TID,team_abbreviation,player_id
2012,413,1406,towson,Alex Giergen
2012,424,1346,quinnipiac,Alex Jackson
2012,425,1301,north-carolina-state,Alex Johnson
2012,430,1268,maryland,Alex Len
2012,435,1321,northwestern,Alex Marcotullio
2012,442,1428,utah,Alex Mortensen
2012,447,1127,binghamton,Alex Ogundadegbe
2012,462,1162,columbia,Alex Rosenberg
2012,470,1194,florida-atlantic,Alex Tucker
2012,473,1427,texas-san-antonio,Alex Vouyoukas
2012,476,1237,iupui,Alex Young
2012,483,1425,southern-california,Alexis Moore
2012,489,1430,utah-valley,Alfonzo Hubbard
2012,497,1310,niagara,Ali Langford
2012,499,1374,southern-methodist,Aliaksei Patsevich
2012,504,1241,james-madison,Alioune Diouf
2012,510,1169,cal-state-northridge,Allan Guei
2012,512,1377,south-dakota,Allan Saint Gelais
2012,515,1143,california,Allen Crabbe
2012,516,1347,radford,Allen Dickerson
2012,520,1120,auburn,Allen Payne
2012,524,1370,seattle,Allen Tate
2012,528,1342,presbyterian,Allonzo Coleman
2012,534,1317,north-texas,Alonzo Edwards
2012,541,1422,north-carolina-greensboro,Aloysius Henry
2012,546,1145,canisius,Alshwan Hymes
2012,550,1122,austin-peay,Alton Williams
2012,551,1306,new-hampshire,Alvin Abreu
2012,553,1348,rhode-island,Alwayne Bigby
2012,557,1317,north-texas,Alzee Williams
2012,566,1391,stetson,Amara Thompson
2012,576,1142,cal-poly,Amaurys Fermin
2012,580,1220,hofstra,Ameen Tanksley
2012,581,1288,morgan-state,Ameer Ali
2012,587,1175,delaware-state,Amere May
2012,589,1197,florida-am,Amin Stevens
2012,593,1144,campbell,Amir Celestin
2012,595,1385,st-johns-ny,Amir Garrett
2012,602,1290,mississippi-valley-state,Amos Studivant
2012,605,1395,texas-christian,Amric Fields
2012,623,1141,central-michigan,Andre Coimbra
2012,624,1206,george-mason,Andre Cornelius
2012,626,1181,duke,Andre Dawkins
2012,627,1163,connecticut,Andre Drummond
2012,635,1226,idaho-state,Andre Hatchett
2012,637,1278,minnesota,Andre Hollins
2012,641,1457,winthrop,Andre Jones
2012,645,1348,rhode-island,Andre Malone
2012,646,1182,duquesne,Andre Marhold
2012,649,1160,colorado,Andre Roberson
2012,652,1457,winthrop,Andre Smith
2012,655,1261,louisiana-state,Andre Stringer
2012,657,1462,xavier,Andre Walker
2012,663,1111,appalachian-state,Andre Williamson
2012,666,1155,clemson,Andre Young
2012,674,1216,hartford,Andres Torres
2012,677,1334,pacific,Andrew Bock
2012,682,1400,texas,Andrew Dick
2012,687,1165,cornell,Andrew Ferry
2012,702,1158,college-of-charleston,Andrew Lawrence
2012,706,1135,brown,Andrew Mccarthy
2012,710,1284,monmouth,Andrew Nicholas
2012,711,1382,st-bonaventure,Andrew Nicholson
2012,714,1456,william-mary,Andrew Pavloff
2012,720,1263,maine,Andrew Rogers
2012,722,1144,campbell,Andrew Ryan
2012,724,1139,butler,Andrew Smith
2012,727,1104,alabama,Andrew Steele
2012,737,1390,stanford,Andrew Zimmermann
2012,738,1241,james-madison,Andrey Semenov
2012,744,1316,north-florida,Andy Diaz
2012,747,1291,mount-st-marys,Andy Smeathers
2012,749,1313,norfolk-state,Anell Alexis
2012,756,1378,south-florida,Angel Nunez
2012,758,1274,miami-fl,Angel Rodriguez
2012,760,1362,san-francisco,Angelo Caloiaro
2012,762,1379,southern-mississippi,Angelo Johnson
2012,764,1287,morehead-state,Angelo Warner
2012,765,1333,oregon-state,Angus Brandt
2012,771,1140,brigham-young,Anson Winder
2012,783,1235,iowa-state,Anthony Booker
2012,786,1390,stanford,Anthony Brown
2012,787,1122,austin-peay,Anthony Campbell
2012,790,1401,texas-am,Anthony Collins
2012,791,1229,illinois-state,Anthony Cousin
2012,797,1246,kentucky,Anthony Davis
2012,799,1351,rider,Anthony Dorazio
2012,800,1283,missouri-state,Anthony Downing
2012,801,1129,boise-state,Anthony Drmic
2012,807,1384,saint-francis-pa,Anthony Ervin
2012,808,1299,north-carolina-at,Anthony Estes
2012,810,1251,liberty,Anthony Fields
2012,813,1438,virginia,Anthony Gill
2012,817,1132,bowling-green-state,Anthony Henderson
2012,818,1329,oklahoma-state,Anthony Hickey
2012,819,1223,houston-baptist,Anthony Hill
2012,822,1230,incarnate-word,Anthony Horton
2012,824,1241,james-madison,Anthony Humpty Hitchens
2012,825,1258,loyola-marymount,Anthony Ireland
2012,826,1392,stony-brook,Anthony Jackson
2012,827,1320,northern-iowa,Anthony James
2012,828,1296,northern-illinois,Anthony Johnson
2012,832,1124,baylor,Anthony Jones
2012,842,1348,rhode-island,Anthony Malhoit
2012,843,1424,nevada-las-vegas,Anthony Marshall
2012,847,1249,lamar,Anthony Miles
2012,852,1352,robert-morris,Anthony Myers
2012,853,1351,rider,Anthony Myles
2012,855,1108,alcorn-state,Anthony Nieves
2012,857,1223,houston-baptist,Anthony Odunsi
2012,861,1106,alabama-state,Anthony Price
2012,862,1157,coastal-carolina,Anthony Raffa
2012,871,1158,college-of-charleston,Anthony Stitt
2012,872,1185,eastern-michigan,Anthony Strickland
2012,875,1255,longwood,Anthony Taylor
2012,884,1259,loyola-md,Anthony Winbush
2012,888,1375,south-alabama,Antione Lundy
2012,890,1185,eastern-michigan,Antoine Chandler
2012,893,1120,auburn,Antoine Mason
2012,898,1166,creighton,Antoine Young
2012,900,1224,howard,Anton Dickerson
2012,901,1455,wichita-state,Anton Gandy
2012,904,1330,old-dominion,Anton Larsen
2012,908,1296,northern-illinois,Antone Christian
2012,910,1397,tennessee,Antonio Barton
2012,914,1372,stephen-f-austin,Antonio Bostic
2012,920,1185,eastern-michigan,Antonio Green
2012,930,1164,coppin-state,Antonio Williams
2012,934,1368,southeastern-louisiana,Antonnio Benton
2012,938,1158,college-of-charleston,Antwaine Wiggins
2012,940,1251,liberty,Antwan Burrus
2012,941,1255,longwood,Antwan Carter
2012,945,1269,massachusetts,Antwan Space
2012,947,1442,western-illinois,Antwan Watson
2012,949,1236,ipfw,Antwaun Boyd
2012,959,1361,san-diego-state,Aqeel Quinn
2012,961,1180,drexel,Aquil Younger
2012,965,1152,chicago-state,Ardarius Simmons
2012,967,1169,cal-state-northridge,Ari Feldman
2012,969,1288,morgan-state,Aric Brooks
2012,975,1312,njit,Arjun Ohri
2012,978,1149,charleston-southern,Arlon Harper
2012,980,1241,james-madison,Arman Marks
2012,986,1463,yale,Armani Cotton
2012,994,1460,wright-state,Armond Battle
2012,1000,1280,mississippi-state,Arnett Moultrie
2012,1002,1366,savannah-state,Arnold Louis
2012,1003,1254,long-island-university,Arnold Mayorga
2012,1006,1332,oregon,Arsalan Kazemi
2012,1007,1223,houston-baptist,Art Bernardi
2012,1008,1285,montana,Art Steward
2012,1011,1461,wyoming,Arthur Bouedo
2012,1028,1464,youngstown-state,Ashen Ward
2012,1029,1258,loyola-marymount,Ashley Hamilton
2012,1032,1338,pittsburgh,Ashton Gibbs
2012,1036,1154,citadel,Ashton Moore
2012,1040,1296,northern-illinois,Askel Bolin
2012,1041,1160,colorado,Askia Booker
2012,1059,1375,south-alabama,Augustine Rubit
2012,1060,1378,south-florida,Augustus Gilchrist
2012,1064,1138,buffalo,Auraum Nuiriankh
2012,1070,1183,eastern-illinois,Austin Akers
2012,1071,1115,arkansas-pine-bluff,Austin Allen
2012,1081,1110,american,Austin Carroll
2012,1082,1166,creighton,Austin Chatman
2012,1090,1160,colorado,Austin Dufault
2012,1093,1139,butler,Austin Etherington
2012,1099,1189,elon,Austin Hamilton
2012,1100,1185,eastern-michigan,Austin Harper
2012,1104,1278,minnesota,Austin Hollins
2012,1110,1141,central-michigan,Austin Keel
2012,1117,1186,eastern-washington,Austin Mcbroom
2012,1121,1463,yale,Austin Morgan
2012,1128,1415,california-riverside,Austin Quick
2012,1131,1444,western-michigan,Austin Richie
2012,1133,1181,duke,Austin Rivers
2012,1141,1277,michigan-state,Austin Thornton
2012,1143,1159,colgate,Austin Tillotson
2012,1155,1299,north-carolina-at,Austin Witter
2012,1156,1133,bradley,Auston Barnes
2012,1157,1132,bowling-green-state,Auston Calhoun
2012,1164,1166,creighton,Avery Dingman
2012,1166,1413,california-davis,Avery Johnson
2012,1169,1240,jacksonville-state,Avery Moore
2012,1185,1258,loyola-marymount,Ayodeji Egbeyemi
2012,1199,1367,south-carolina-upstate,Babatunde Olomuwiya
2012,1215,1308,new-mexico-state,Bandja Sy
2012,1222,1126,bethune-cookman,Barry Smith
2012,1228,1402,texas-state,Basil Brown
2012,1233,1399,tennessee-tech,Bassey Inameti
2012,1244,1388,saint-marys-ca,Beau Levesque
2012,1246,1430,utah-valley,Ben Aird
2012,1247,1136,bryant,Ben Altit
2012,1248,1260,loyola-il,Ben Averkamp
2012,1250,1434,valparaiso,Ben Boggs
2012,1251,1137,bucknell,Ben Brackney
2012,1252,1458,wisconsin,Ben Brust
2012,1256,1150,charlotte,Ben Cherry
2012,1257,1429,utah-state,Ben Clifford
2012,1260,1422,north-carolina-greensboro,Ben Dickinson
2012,1261,1114,arkansas-little-rock,Ben Dillard
2012,1263,1204,georgia-southern,Ben Drayton
2012,1264,1423,north-carolina-wilmington,Ben Eblen
2012,1270,1343,princeton,Ben Hazel
2012,1278,1311,nicholls-state,Ben Martin
2012,1283,1383,st-francis-ny,Ben Mockford
2012,1297,1179,drake,Ben Simons
2012,1298,1455,wichita-state,Ben Smith
2012,1321,1268,maryland,Berend Weijs
2012,1322,1150,charlotte,Bernard Sullivan
2012,1323,1195,florida-gulf-coast,Bernard Thompson
2012,1332,1275,miami-oh,Bill Edwards
2012,1333,1145,canisius,Billy Baron
2012,1341,1336,penn-state,Billy Oliver
2012,1351,1250,lehigh,Bj Bailey
2012,1362,1182,duquesne,Bj Monteiro
2012,1363,1415,california-riverside,Bj Shearry
2012,1369,1116,arkansas,Bj Young
2012,1371,1389,saint-peters,Blaise Ffrench
2012,1372,1162,columbia,Blaise Staab
2012,1373,1464,youngstown-state,Blake Allen
2012,1374,1288,morgan-state,Blake Bozeman
2012,1376,1324,oakland,Blake Cushingberry
2012,1379,1176,denver,Blake Foeman
2012,1386,1125,belmont,Blake Jenkins
2012,1388,1110,american,Blake Jolivette
2012,1393,1378,south-florida,Blake Nash
2012,1398,1290,mississippi-valley-state,Blake Ralling
2012,1402,1347,radford,Blake Smith
2012,1405,1245,kent-state,Blake Vedder
2012,1414,1154,citadel,Bo Holston
2012,1415,1426,texas-arlington,Bo Ingram
2012,1417,1304,nebraska,Bo Spencer
2012,1422,1202,furman,Bobby Austin
2012,1433,1218,hawaii,Bobby Miles
2012,1458,1254,long-island-university,Booker Hucks
2012,1472,1459,wofford,Brad Loesing
2012,1473,1462,xavier,Brad Redford
2012,1475,1435,vanderbilt,Brad Tinsley
2012,1482,1433,virginia-commonwealth,Bradford Burgess
2012,1485,1196,florida,Bradley Beal
2012,1486,1426,texas-arlington,Bradley Gay
2012,1492,1124,baylor,Brady Heslip
2012,1503,1178,detroit-mercy,Brandan Kearney
2012,1505,1317,north-texas,Brandan Walton
2012,1508,1277,michigan-state,Branden Dawson
2012,1509,1200,fordham,Branden Frazier
2012,1512,1234,iowa,Branden Stubbs
2012,1513,1105,alabama-am,Brandon Allen
2012,1522,1125,belmont,Brandon Baker
2012,1526,1441,western-carolina,Brandon Boggs
2012,1527,1377,south-dakota,Brandon Bos
2012,1532,1456,william-mary,Brandon Britt
2012,1540,1365,santa-clara,Brandon Clark
2012,1542,1157,coastal-carolina,Brandon Crawford
2012,1545,1140,brigham-young,Brandon Davies
2012,1546,1249,lamar,Brandon Davis
2012,1548,1244,kennesaw-state,Brandon Dawson
2012,1549,1212,grambling,Brandon Dorsett
2012,1550,1426,texas-arlington,Brandon Edwards
2012,1551,1105,alabama-am,Brandon Ellis
2012,1552,1224,howard,Brandon Ford
2012,1553,1368,southeastern-louisiana,Brandon Fortenberry
2012,1555,1256,louisiana-tech,Brandon Gibson
2012,1563,1389,saint-peters,Brandon Hall
2012,1567,1359,samford,Brandon Hayman
2012,1568,1352,robert-morris,Brandon Herman
2012,1571,1197,florida-am,Brandon Hosley
2012,1576,1159,colgate,Brandon James
2012,1594,1209,georgia-state,Brandon Mcgee
2012,1599,1116,arkansas,Brandon Mitchell
2012,1601,1371,seton-hall,Brandon Mobley
2012,1602,1380,southern,Brandon Moore
2012,1611,1175,delaware-state,Brandon Oliver
2012,1613,1228,illinois,Brandon Paul
2012,1615,1351,rider,Brandon Penn
2012,1616,1117,arkansas-state,Brandon Peterson
2012,1617,1444,western-michigan,Brandon Pokley
2012,1622,1410,texas-pan-american,Brandon Provost
2012,1627,1117,arkansas-state,Brandon Reed
2012,1628,1393,syracuse,Brandon Reese
2012,1630,1304,nebraska,Brandon Richardson
2012,1631,1354,south-carolina-state,Brandon Riley
2012,1639,1143,california,Brandon Smith
2012,1652,1254,long-island-university,Brandon Thompson
2012,1653,1393,syracuse,Brandon Triche
2012,1654,1304,nebraska,Brandon Ubel
2012,1657,1298,navy,Brandon Venturini
2012,1659,1373,siena,Brandon Walters
2012,1661,1313,norfolk-state,Brandon Wheeless
2012,1666,1277,michigan-state,Brandon Wood
2012,1668,1177,depaul,Brandon Young
2012,1671,1217,harvard,Brandyn Curry
2012,1675,1219,high-point,Branimir Mikulic
2012,1689,1355,south-dakota-state,Brayden Carlson
2012,1700,1436,vermont,Brendan Bald
2012,1703,1343,princeton,Brendan Connolly
2012,1707,1337,pepperdine,Brendan Lane
2012,1712,1449,washington,Brendan Sherrer
2012,1722,1112,arizona,Brendon Lavender
2012,1726,1453,green-bay,Brennan Cougill
2012,1729,1298,navy,Brennan Wyatt
2012,1730,1287,morehead-state,Brent Arrington
2012,1737,1383,st-francis-ny,Brent Jones
2012,1741,1376,south-carolina,Brenton Williams
2012,1742,1214,hampton,Breon Key
2012,1750,1195,florida-gulf-coast,Brett Comer
2012,1751,1189,elon,Brett Ervin
2012,1754,1332,oregon,Brett Kingma
2012,1755,1103,akron,Brett Mcclanahan
2012,1756,1176,denver,Brett Olson
2012,1765,1192,fairleigh-dickinson,Briahn Smith
2012,1766,1162,columbia,Brian Barbour
2012,1769,1306,new-hampshire,Brian Benson
2012,1773,1280,mississippi-state,Brian Bryant
2012,1774,1381,southern-utah,Brian Cameron
2012,1777,1422,north-carolina-greensboro,Brian Cole
2012,1778,1387,saint-louis,Brian Conklin
2012,1779,1214,hampton,Brian Darden
2012,1790,1420,maryland-baltimore-county,Brian Neller
2012,1797,1219,high-point,Brian Richardson
2012,1801,1176,denver,Brian Stafford
2012,1804,1172,davidson,Brian Sullivan
2012,1807,1436,vermont,Brian Voelkel
2012,1808,1103,akron,Brian Walsh
2012,1812,1240,jacksonville-state,Brian Williams
2012,1813,1418,louisiana-lafayette,Brian Williams
2012,1814,1433,virginia-commonwealth,Briante Weber
2012,1816,1424,nevada-las-vegas,Brice Massamba
2012,1828,1450,washington-state,Brock Motum
2012,1831,1140,brigham-young,Brock Zylstra
2012,1833,1429,utah-state,Brockeith Pane
2012,1842,1402,texas-state,Brooks Ybarra
2012,1843,1332,oregon,Bruce Barron
2012,1846,1376,south-carolina,Bruce Ellington
2012,1847,1258,loyola-marymount,Bruce English
2012,1849,1367,south-carolina-upstate,Bruce Haynes
2012,1851,1292,middle-tennessee,Bruce Massey
2012,1861,1203,george-washington,Bryan Bynes
2012,1862,1137,bucknell,Bryan Cohen
2012,1863,1392,stony-brook,Bryan Dougher
2012,1867,1311,nicholls-state,Bryan Hammond
2012,1870,1155,clemson,Bryan Narcisse
2012,1872,1200,fordham,Bryan Smith
2012,1875,1229,illinois-state,Bryant Allen
2012,1878,1202,furman,Bryant Irwin
2012,1879,1418,louisiana-lafayette,Bryant Mbamalu
2012,1882,1212,grambling,Bryant Purvis
2012,1891,1234,iowa,Bryce Cartwright
2012,1892,1380,southern,Bryce Clark
2012,1893,1344,providence,Bryce Cotton
2012,1896,1394,texas-am-corpus-christi,Bryce Douvier
2012,1933,1206,george-mason,Bryon Allen
2012,1934,1202,furman,Bryson Barnes
2012,1937,1137,bucknell,Bryson Johnson
2012,1945,1311,nicholls-state,Bryson Triggs
2012,1951,1235,iowa-state,Bubu Palo
2012,1952,1273,mercer,Bud Thomas
2012,1961,1127,binghamton,Byron Brown
2012,1963,1451,weber-state,Byron Fulton
2012,1967,1211,gonzaga,Byron Wesley
2012,1973,1443,western-kentucky,Caden Dickerson
2012,1975,1269,massachusetts,Cady Lalanne
2012,2021,1283,missouri-state,Caleb Patterson
2012,2031,1304,nebraska,Caleb Walker
2012,2034,1337,pepperdine,Caleb Willis
2012,2044,1363,san-jose-state,Calvin Douglas
2012,2047,1416,central-florida,Calvin Newell 
2012,2051,1224,howard,Calvin Thompson
2012,2057,1423,north-carolina-wilmington,Cam Chambers
2012,2076,1137,bucknell,Cameron Ayers
2012,2078,1307,new-mexico,Cameron Bairstow
2012,2079,1204,georgia-southern,Cameron Baskerville
2012,2080,1198,florida-international,Cameron Bell
2012,2087,1426,texas-arlington,Cameron Catlett
2012,2088,1328,oklahoma,Cameron Clark
2012,2118,1360,san-diego,Cameron Miles
2012,2119,1380,southern,Cameron Monroe
2012,2120,1412,alabama-birmingham,Cameron Moore
2012,2132,1358,sam-houston-state,Cameron Sadler
2012,2142,1397,tennessee,Cameron Tatum
2012,2151,1338,pittsburgh,Cameron Wright
2012,2153,1336,penn-state,Cammeron Woodyard
2012,2159,1335,pennsylvania,Camryn Crocker
2012,2165,1374,southern-methodist,Cannen Cunningham
2012,2169,1341,prairie-view,Carl Blair
2012,2173,1386,saint-josephs,Carl Jones
2012,2175,1232,indiana-state,Carl Richard
2012,2178,1457,winthrop,Carlin Bremner
2012,2181,1160,colorado,Carlon Brown
2012,2185,1332,oregon,Carlos Emory
2012,2195,1178,detroit-mercy,Carlton Brundidge
2012,2196,1245,kent-state,Carlton Guyton
2012,2200,1127,binghamton,Carlyle Francis
2012,2202,1113,arizona-state,Carrick Felix
2012,2207,1344,providence,Carson Desrosiers
2012,2214,1119,army,Cartavious Kincade
2012,2218,1367,south-carolina-upstate,Carter Cook
2012,2222,1393,syracuse,Carter Sanderson
2012,2232,1105,alabama-am,Casey Cantey
2012,2238,1196,florida,Casey Prather
2012,2242,1175,delaware-state,Casey Walker
2012,2244,1153,cincinnati,Cashmere Wright
2012,2245,1253,long-beach-state,Casper Ware
2012,2260,1368,southeastern-louisiana,Cedric Jenkins
2012,2262,1428,utah,Cedric Martin
2012,2264,1366,savannah-state,Cedric Smith
2012,2266,1149,charleston-southern,Cedrick Bowen
2012,2268,1350,richmond,Cedrick Lindsay
2012,2272,1442,western-illinois,Ceola Clark
2012,2273,1370,seattle,Cervante Burrell
2012,2274,1201,fresno-state,Cezar Guerrero
2012,2276,1424,nevada-las-vegas,Chace Stanback
2012,2277,1307,new-mexico,Chad Adams
2012,2285,1262,massachusetts-lowell,Chad Holley
2012,2288,1159,colgate,Chad Johnson
2012,2291,1370,seattle,Chad Rasmussen
2012,2295,1355,south-dakota-state,Chad White
2012,2298,1298,navy,Chall Montgomery
2012,2299,1333,oregon-state,Challe Barton
2012,2300,1367,south-carolina-upstate,Chalmers Rogers
2012,2308,1347,radford,Chance Smith
2012,2314,1306,new-hampshire,Chandler Rhoads
2012,2317,1325,ohio,Chandler Thomas
2012,2320,1257,louisville,Chane Behanan
2012,2322,1113,arizona-state,Chanse Creekmur
2012,2324,1140,brigham-young,Charles Abouo
2012,2335,1261,louisiana-state,Charles Carmouche
2012,2342,1461,wyoming,Charles Hankerson Jr
2012,2346,1110,american,Charles Hinkle
2012,2347,1272,memphis,Charles Holt
2012,2351,1188,southern-illinois-edwardsville,Charles Joy
2012,2352,1156,cleveland-state,Charles Lee
2012,2356,1177,depaul,Charles Mckinney
2012,2357,1316,north-florida,Charles Mcroy
2012,2361,1340,portland-state,Charles Odum
2012,2362,1313,norfolk-state,Charles Oliver
2012,2376,1419,louisiana-monroe,Charles Winborne
2012,2383,1249,lamar,Charlie Harper
2012,2386,1202,furman,Charlie Reddick
2012,2389,1377,south-dakota,Charlie Westbrook
2012,2391,1382,st-bonaventure,Charlon Kloof
2012,2392,1133,bradley,Charonn Woods
2012,2405,1399,tennessee-tech,Chase Dunn
2012,2406,1195,florida-gulf-coast,Chase Fieler
2012,2407,1140,brigham-young,Chase Fischer
2012,2411,1226,idaho-state,Chase Grabau
2012,2413,1176,denver,Chase Hallam
2012,2418,1102,air-force,Chase Kammerer
2012,2422,1420,maryland-baltimore-county,Chase Plummer
2012,2423,1178,detroit-mercy,Chase Simon
2012,2424,1139,butler,Chase Stigall
2012,2425,1361,san-diego-state,Chase Tapley
2012,2430,1390,stanford,Chasson Randle
2012,2434,1103,akron,Chauncey Gilliam
2012,2436,1132,bowling-green-state,Chauncey Orr
2012,2439,1265,marist,Chavaughn Lewis
2012,2445,1269,massachusetts,Chaz Williams
2012,2450,1340,portland-state,Chehales Tapscott
2012,2454,1153,cincinnati,Cheikh Mbodji
2012,2456,1251,liberty,Chene Phillips
2012,2466,1260,loyola-il,Chim Kadima
2012,2471,1379,southern-mississippi,Chip Armelin
2012,2472,1320,northern-iowa,Chip Rank
2012,2476,1235,iowa-state,Chris Allen
2012,2481,1235,iowa-state,Chris Babb
2012,2485,1261,louisiana-state,Chris Bass
2012,2494,1108,alcorn-state,Chris Brand
2012,2496,1150,charlotte,Chris Braswell
2012,2499,1389,saint-peters,Chris Burke
2012,2503,1102,air-force,Chris Carter
2012,2515,1113,arizona-state,Chris Colvin
2012,2516,1398,tennessee-state,Chris Conner
2012,2518,1272,memphis,Chris Crawford
2012,2520,1162,columbia,Chris Crockett
2012,2522,1172,davidson,Chris Czerapowicz
2012,2525,1239,jacksonville,Chris Davis
2012,2526,1420,maryland-baltimore-county,Chris De La Rosa
2012,2529,1120,auburn,Chris Denson
2012,2533,1151,chattanooga,Chris Early
2012,2534,1245,kent-state,Chris Evans
2012,2535,1357,sacred-heart,Chris Evans
2012,2536,1142,cal-poly,Chris Eversley
2012,2538,1312,njit,Chris Flores
2012,2540,1180,drexel,Chris Fouch
2012,2544,1200,fordham,Chris Gaston
2012,2547,1157,coastal-carolina,Chris Gradnigo
2012,2548,1119,army,Chris Gramling
2012,2550,1149,charleston-southern,Chris Grier
2012,2560,1146,central-arkansas,Chris Henson
2012,2562,1179,drake,Chris Hines
2012,2569,1173,dayton,Chris Johnson
2012,2570,1384,saint-francis-pa,Chris Johnson
2012,2571,1382,st-bonaventure,Chris Johnson
2012,2572,1363,san-jose-state,Chris Jones
2012,2573,1317,north-texas,Chris Jones
2012,2584,1359,samford,Chris Longoria
2012,2589,1447,wagner,Chris Martin
2012,2590,1366,savannah-state,Chris Martin
2012,2592,1394,texas-am-corpus-christi,Chris Mast
2012,2593,1306,new-hampshire,Chris Matagrano
2012,2596,1313,norfolk-state,Chris Mceachin
2012,2598,1414,california-irvine,Chris Mcnealy
2012,2601,1381,southern-utah,Chris Nsenki
2012,2612,1145,canisius,Chris Perez
2012,2613,1307,new-mexico,Chris Perez
2012,2616,1389,saint-peters,Chris Prescott
2012,2619,1127,binghamton,Chris Rice
2012,2620,1404,tennessee-martin,Chris Richardson
2012,2629,1257,louisville,Chris Smith
2012,2630,1273,mercer,Chris Smith
2012,2634,1421,north-carolina-asheville,Chris Stephenson
2012,2636,1311,nicholls-state,Chris Talkington
2012,2641,1176,denver,Chris Udofia
2012,2644,1197,florida-am,Chris Watson
2012,2648,1386,saint-josephs,Chris Wilson
2012,2650,1165,cornell,Chris Wroblewski
2012,2653,1460,wright-state,Chrishawn Hopkins
2012,2664,1419,louisiana-monroe,Christian Bibi Ndongo
2012,2669,1440,virginia-military-institute,Christian Burton
2012,2672,1406,towson,Christian Collins
2012,2681,1395,texas-christian,Christian Gore
2012,2694,1308,new-mexico-state,Christian Kabongo
2012,2698,1283,missouri-state,Christian Kirk
2012,2704,1286,montana-state,Christian Moon
2012,2708,1364,california-santa-barbara,Christian Peterson
2012,2717,1237,iupui,Christian Siakam
2012,2723,1260,loyola-il,Christian Thomas
2012,2728,1231,indiana,Christian Watford
2012,2729,1217,harvard,Christian Webster
2012,2732,1238,jackson-state,Christian Williams
2012,2741,1195,florida-gulf-coast,Christophe Varidel
2012,2742,1360,san-diego,Christopher Anderson
2012,2751,1214,hampton,Christopher Tolson
