ID,Pred
2015_1112_1235,0.5925
2015_1112_1242,0.643
2015_1112_1246,0.4695
2015_1112_1248,0.9235
2015_1112_1257,0.6515
2015_1112_1261,0.8
2015_1112_1264,0.9365
2015_1112_1268,0.7915
2015_1112_1277,0.7675
2015_1112_1279,0.9015
2015_1112_1295,0.963
2015_1112_1301,0.8265
2015_1112_1308,0.9645
2015_1112_1314,0.648
2015_1112_1316,0.959
2015_1112_1318,0.984
2015_1112_1320,0.7525
2015_1112_1323,0.5595
2015_1112_1326,0.6705
2015_1112_1328,0.691
2015_1112_1329,0.837
2015_1112_1332,0.881
2015_1112_1344,0.9095
2015_1112_1345,0.8985
2015_1112_1352,0.976
2015_1112_1361,0.7445
2015_1112_1372,0.8325
2015_1112_1374,0.7895
2015_1112_1385,0.7555
2015_1112_1400,0.6915
2015_1112_1411,0.995
2015_1112_1412,0.899
2015_1112_1414,0.9615
2015_1112_1417,0.936
2015_1112_1428,0.6415
2015_1112_1433,0.669
2015_1112_1434,0.906
2015_1112_1437,0.4905
2015_1112_1438,0.4055
2015_1112_1452,0.7685
2015_1112_1455,0.6935
2015_1112_1458,0.1275
2015_1112_1459,0.952
2015_1112_1461,0.893
2015_1112_1462,0.941
2015_1116_1124,0.482
2015_1116_1125,0.883
2015_1116_1129,0.7375
2015_1116_1138,0.7325
2015_1116_1139,0.4115
2015_1116_1140,0.6585
2015_1116_1153,0.6375
2015_1116_1157,0.894
2015_1116_1172,0.643
2015_1116_1173,0.6825
2015_1116_1181,0.278
2015_1116_1186,0.807
2015_1116_1207,0.5315
2015_1116_1208,0.7345
2015_1116_1209,0.892
2015_1116_1211,0.2165
2015_1116_1214,0.865
2015_1116_1217,0.847
2015_1116_1231,0.793
2015_1116_1234,0.5975
2015_1116_1235,0.439
2015_1116_1242,0.5145
2015_1116_1246,0.261
2015_1116_1248,0.93
2015_1116_1257,0.4565
2015_1116_1261,0.6855
2015_1116_1264,0.895
2015_1116_1268,0.573
2015_1116_1277,0.4705
2015_1116_1279,0.839
2015_1116_1295,0.868
2015_1116_1301,0.745
2015_1116_1308,0.777
2015_1116_1314,0.1695
2015_1116_1316,0.926
2015_1116_1318,0.9335
2015_1116_1320,0.51
2015_1116_1323,0.3295
2015_1116_1326,0.425
2015_1116_1328,0.5175
2015_1116_1329,0.791
2015_1116_1332,0.735
2015_1116_1344,0.643
2015_1116_1345,0.8155
2015_1116_1352,0.951
2015_1116_1361,0.5905
2015_1116_1372,0.6935
2015_1116_1374,0.519
2015_1116_1385,0.678
2015_1116_1400,0.6515
2015_1116_1411,0.9205
2015_1116_1412,0.8555
2015_1116_1414,0.9265
2015_1116_1417,0.7725
2015_1116_1428,0.459
2015_1116_1433,0.5385
2015_1116_1434,0.798
2015_1116_1437,0.2695
2015_1116_1438,0.4655
2015_1116_1452,0.5395
2015_1116_1455,0.489
2015_1116_1458,0.257
2015_1116_1459,0.946
2015_1116_1461,0.8545
2015_1116_1462,0.5275
2015_1124_1125,0.7815
2015_1124_1129,0.6595
2015_1124_1138,0.7635
2015_1124_1139,0.4425
2015_1124_1140,0.616
2015_1124_1153,0.7105
2015_1124_1157,0.912
2015_1124_1172,0.61
2015_1124_1173,0.7465
2015_1124_1181,0.2655
2015_1124_1186,0.6045
2015_1124_1207,0.6955
2015_1124_1208,0.731
2015_1124_1209,0.2525
2015_1124_1211,0.294
2015_1124_1214,0.8705
2015_1124_1217,0.799
2015_1124_1231,0.713
2015_1124_1234,0.6475
2015_1124_1235,0.5745
2015_1124_1242,0.4905
2015_1124_1246,0.2475
2015_1124_1248,0.8105
2015_1124_1257,0.506
2015_1124_1261,0.654
2015_1124_1264,0.7035
2015_1124_1268,0.601
2015_1124_1277,0.5345
2015_1124_1279,0.698
2015_1124_1295,0.8485
2015_1124_1301,0.658
2015_1124_1308,0.8475
2015_1124_1314,0.4745
2015_1124_1316,0.925
2015_1124_1318,0.942
2015_1124_1320,0.639
2015_1124_1323,0.387
2015_1124_1326,0.4735
2015_1124_1328,0.3895
2015_1124_1329,0.6445
2015_1124_1332,0.647
2015_1124_1344,0.6795
2015_1124_1345,0.7235
2015_1124_1352,0.9445
2015_1124_1361,0.565
2015_1124_1372,0.7175
2015_1124_1374,0.671
2015_1124_1385,0.628
2015_1124_1400,0.61
2015_1124_1411,0.9385
2015_1124_1412,0.738
2015_1124_1414,0.859
2015_1124_1417,0.688
2015_1124_1428,0.48
2015_1124_1433,0.5335
2015_1124_1434,0.7435
2015_1124_1437,0.3465
2015_1124_1438,0.309
2015_1124_1452,0.5675
2015_1124_1455,0.489
2015_1124_1458,0.247
2015_1124_1459,0.751
2015_1124_1461,0.8365
2015_1124_1462,0.639
2015_1125_1129,0.3455
2015_1125_1138,0.3465
2015_1125_1139,0.235
2015_1125_1140,0.0705
2015_1125_1153,0.3525
2015_1125_1157,0.5595
2015_1125_1172,0.147
2015_1125_1173,0.2195
2015_1125_1181,0.0085
2015_1125_1186,0.375
2015_1125_1207,0.2095
2015_1125_1208,0.335
2015_1125_1209,0.38
2015_1125_1211,0.0205
2015_1125_1214,0.6185
2015_1125_1217,0.3685
2015_1125_1231,0.1945
2015_1125_1234,0.2035
2015_1125_1235,0.0815
2015_1125_1242,0.225
2015_1125_1246,0.037
2015_1125_1248,0.665
2015_1125_1257,0.226
2015_1125_1261,0.211
2015_1125_1264,0.559
2015_1125_1268,0.285
2015_1125_1277,0.1025
2015_1125_1279,0.186
2015_1125_1295,0.5035
2015_1125_1301,0.291
2015_1125_1308,0.512
2015_1125_1314,0.066
2015_1125_1316,0.631
2015_1125_1318,0.5045
2015_1125_1320,0.166
2015_1125_1323,0.0105
2015_1125_1326,0.0615
2015_1125_1328,0.2515
2015_1125_1329,0.3565
2015_1125_1332,0.2555
2015_1125_1344,0.1905
2015_1125_1345,0.2595
2015_1125_1352,0.6875
2015_1125_1361,0.3605
2015_1125_1372,0.259
2015_1125_1374,0.1795
2015_1125_1385,0.288
2015_1125_1400,0.4075
2015_1125_1411,0.811
2015_1125_1412,0.532
2015_1125_1414,0.464
2015_1125_1417,0.2815
2015_1125_1428,0.1385
2015_1125_1433,0.143
2015_1125_1434,0.38
2015_1125_1437,0.039
2015_1125_1438,0.051
2015_1125_1452,0.1405
2015_1125_1455,0.0965
2015_1125_1458,0.028
2015_1125_1459,0.3855
2015_1125_1461,0.37
2015_1125_1462,0.121
2015_1129_1138,0.531
2015_1129_1139,0.311
2015_1129_1140,0.4295
2015_1129_1153,0.339
2015_1129_1157,0.8065
2015_1129_1172,0.5005
2015_1129_1173,0.209
2015_1129_1181,0.0675
2015_1129_1186,0.607
2015_1129_1207,0.3995
2015_1129_1208,0.4195
2015_1129_1209,0.546
2015_1129_1211,0.138
2015_1129_1214,0.697
2015_1129_1217,0.518
2015_1129_1231,0.425
2015_1129_1234,0.405
2015_1129_1235,0.2225
2015_1129_1242,0.4015
2015_1129_1246,0.1855
2015_1129_1248,0.7595
2015_1129_1257,0.2325
2015_1129_1261,0.452
2015_1129_1264,0.6995
2015_1129_1268,0.404
2015_1129_1277,0.332
2015_1129_1279,0.535
2015_1129_1295,0.7495
2015_1129_1301,0.397
2015_1129_1308,0.734
2015_1129_1314,0.2515
2015_1129_1316,0.7925
2015_1129_1318,0.725
2015_1129_1320,0.3695
2015_1129_1323,0.1145
2015_1129_1326,0.2495
2015_1129_1328,0.302
2015_1129_1329,0.5595
2015_1129_1332,0.426
2015_1129_1344,0.394
2015_1129_1345,0.4995
2015_1129_1352,0.7975
2015_1129_1361,0.3785
2015_1129_1372,0.5215
2015_1129_1374,0.377
2015_1129_1385,0.487
2015_1129_1400,0.504
2015_1129_1411,0.8675
2015_1129_1412,0.6865
2015_1129_1414,0.676
2015_1129_1417,0.5395
2015_1129_1428,0.2325
2015_1129_1433,0.3195
2015_1129_1434,0.453
2015_1129_1437,0.073
2015_1129_1438,0.202
2015_1129_1452,0.288
2015_1129_1455,0.199
2015_1129_1458,0.0825
2015_1129_1459,0.6215
2015_1129_1461,0.6205
2015_1129_1462,0.444
2015_1138_1139,0.2445
2015_1138_1140,0.3765
2015_1138_1153,0.342
2015_1138_1157,0.816
2015_1138_1172,0.4945
2015_1138_1173,0.5135
2015_1138_1181,0.0305
2015_1138_1186,0.629
2015_1138_1207,0.2705
2015_1138_1208,0.3805
2015_1138_1209,0.557
2015_1138_1211,0.072
2015_1138_1214,0.747
2015_1138_1217,0.451
2015_1138_1231,0.439
2015_1138_1234,0.3235
2015_1138_1235,0.0925
2015_1138_1242,0.309
2015_1138_1246,0.0775
2015_1138_1248,0.764
2015_1138_1257,0.1825
2015_1138_1261,0.383
2015_1138_1264,0.71
2015_1138_1268,0.3095
2015_1138_1277,0.276
2015_1138_1279,0.4465
2015_1138_1295,0.7165
2015_1138_1301,0.417
2015_1138_1308,0.7065
2015_1138_1314,0.135
2015_1138_1316,0.7135
2015_1138_1318,0.689
2015_1138_1320,0.3155
2015_1138_1323,0.062
2015_1138_1326,0.144
2015_1138_1328,0.2255
2015_1138_1329,0.494
2015_1138_1332,0.4275
2015_1138_1344,0.322
2015_1138_1345,0.4445
2015_1138_1352,0.781
2015_1138_1361,0.344
2015_1138_1372,0.525
2015_1138_1374,0.463
2015_1138_1385,0.4225
2015_1138_1400,0.4595
2015_1138_1411,0.9025
2015_1138_1412,0.7055
2015_1138_1414,0.5865
2015_1138_1417,0.4775
2015_1138_1428,0.102
2015_1138_1433,0.3125
2015_1138_1434,0.4505
2015_1138_1437,0.0225
2015_1138_1438,0.1335
2015_1138_1452,0.102
2015_1138_1455,0.193
2015_1138_1458,0.0275
2015_1138_1459,0.574
2015_1138_1461,0.553
2015_1138_1462,0.301
2015_1139_1140,0.5975
2015_1139_1153,0.569
2015_1139_1157,0.908
2015_1139_1172,0.5885
2015_1139_1173,0.641
2015_1139_1181,0.195
2015_1139_1186,0.7215
2015_1139_1207,0.678
2015_1139_1208,0.766
2015_1139_1209,0.7275
2015_1139_1211,0.2365
2015_1139_1214,0.948
2015_1139_1217,0.789
2015_1139_1231,0.6515
2015_1139_1234,0.596
2015_1139_1235,0.4105
2015_1139_1242,0.436
2015_1139_1246,0.223
2015_1139_1248,0.806
2015_1139_1257,0.555
2015_1139_1261,0.6535
2015_1139_1264,0.7885
2015_1139_1268,0.6265
2015_1139_1277,0.5315
2015_1139_1279,0.654
2015_1139_1295,0.898
2015_1139_1301,0.6165
2015_1139_1308,0.7895
2015_1139_1314,0.436
2015_1139_1316,0.8615
2015_1139_1318,0.876
2015_1139_1320,0.5715
2015_1139_1323,0.1145
2015_1139_1326,0.424
2015_1139_1328,0.5245
2015_1139_1329,0.5865
2015_1139_1332,0.6315
2015_1139_1344,0.6215
2015_1139_1345,0.6285
2015_1139_1352,0.873
2015_1139_1361,0.541
2015_1139_1372,0.6505
2015_1139_1374,0.57
2015_1139_1385,0.597
2015_1139_1400,0.837
2015_1139_1411,0.916
2015_1139_1412,0.773
2015_1139_1414,0.8635
2015_1139_1417,0.6535
2015_1139_1428,0.596
2015_1139_1433,0.526
2015_1139_1434,0.7545
2015_1139_1437,0.227
2015_1139_1438,0.19
2015_1139_1452,0.504
2015_1139_1455,0.4325
2015_1139_1458,0.12
2015_1139_1459,0.724
2015_1139_1461,0.67
2015_1139_1462,0.663
2015_1140_1153,0.4525
2015_1140_1157,0.855
2015_1140_1172,0.5275
2015_1140_1173,0.479
2015_1140_1181,0.119
2015_1140_1186,0.7565
2015_1140_1207,0.4295
2015_1140_1208,0.4795
2015_1140_1209,0.77
2015_1140_1211,0.133
2015_1140_1214,0.8155
2015_1140_1217,0.6855
2015_1140_1231,0.584
2015_1140_1234,0.416
2015_1140_1235,0.365
2015_1140_1242,0.4455
2015_1140_1246,0.2155
2015_1140_1248,0.9075
2015_1140_1257,0.397
2015_1140_1261,0.427
2015_1140_1264,0.7965
2015_1140_1268,0.453
2015_1140_1277,0.4005
2015_1140_1279,0.2335
2015_1140_1295,0.786
2015_1140_1301,0.4635
2015_1140_1308,0.7685
2015_1140_1314,0.324
2015_1140_1316,0.8795
2015_1140_1318,0.8335
2015_1140_1320,0.306
2015_1140_1323,0.2405
2015_1140_1326,0.3415
2015_1140_1328,0.4155
2015_1140_1329,0.6105
2015_1140_1332,0.4865
2015_1140_1344,0.406
2015_1140_1345,0.491
2015_1140_1352,0.858
2015_1140_1361,0.495
2015_1140_1372,0.5595
2015_1140_1374,0.4255
2015_1140_1385,0.497
2015_1140_1400,0.501
2015_1140_1411,0.869
2015_1140_1412,0.733
2015_1140_1414,0.796
2015_1140_1417,0.4685
2015_1140_1428,0.3435
2015_1140_1433,0.4725
2015_1140_1434,0.598
2015_1140_1437,0.228
2015_1140_1438,0.3815
2015_1140_1452,0.385
2015_1140_1455,0.3145
2015_1140_1458,0.279
2015_1140_1459,0.814
2015_1140_1461,0.712
2015_1140_1462,0.377
2015_1153_1157,0.7815
2015_1153_1172,0.55
2015_1153_1173,0.6835
2015_1153_1181,0.121
2015_1153_1186,0.655
2015_1153_1207,0.4865
2015_1153_1208,0.501
2015_1153_1209,0.5445
2015_1153_1211,0.175
2015_1153_1214,0.874
2015_1153_1217,0.5435
2015_1153_1231,0.566
2015_1153_1234,0.5345
2015_1153_1235,0.31
2015_1153_1242,0.2855
2015_1153_1246,0.1155
2015_1153_1248,0.775
2015_1153_1257,0.2625
2015_1153_1261,0.5475
2015_1153_1264,0.679
2015_1153_1268,0.389
2015_1153_1277,0.349
2015_1153_1279,0.573
2015_1153_1295,0.77
2015_1153_1301,0.4975
2015_1153_1308,0.71
2015_1153_1314,0.173
2015_1153_1316,0.765
2015_1153_1318,0.7205
2015_1153_1320,0.505
2015_1153_1323,0.209
2015_1153_1326,0.2885
2015_1153_1328,0.3165
2015_1153_1329,0.637
2015_1153_1332,0.582
2015_1153_1344,0.562
2015_1153_1345,0.5995
2015_1153_1352,0.7795
2015_1153_1361,0.5205
2015_1153_1372,0.5345
2015_1153_1374,0.4675
2015_1153_1385,0.5875
2015_1153_1400,0.5425
2015_1153_1411,0.881
2015_1153_1412,0.6935
2015_1153_1414,0.6145
2015_1153_1417,0.6095
2015_1153_1428,0.235
2015_1153_1433,0.4875
2015_1153_1434,0.597
2015_1153_1437,0.089
2015_1153_1438,0.059
2015_1153_1452,0.391
2015_1153_1455,0.3185
2015_1153_1458,0.0725
2015_1153_1459,0.5745
2015_1153_1461,0.65
2015_1153_1462,0.495
2015_1157_1172,0.1355
2015_1157_1173,0.1585
2015_1157_1181,0.003
2015_1157_1186,0.4115
2015_1157_1207,0.061
2015_1157_1208,0.1605
2015_1157_1209,0.2365
2015_1157_1211,0.0035
2015_1157_1214,0.6465
2015_1157_1217,0.3575
2015_1157_1231,0.0785
2015_1157_1234,0.0985
2015_1157_1235,0.022
2015_1157_1242,0.0685
2015_1157_1246,0.02
2015_1157_1248,0.5945
2015_1157_1257,0.0605
2015_1157_1261,0.1835
2015_1157_1264,0.534
2015_1157_1268,0.0965
2015_1157_1277,0.084
2015_1157_1279,0.103
2015_1157_1295,0.529
2015_1157_1301,0.153
2015_1157_1308,0.418
2015_1157_1314,0.049
2015_1157_1316,0.568
2015_1157_1318,0.4835
2015_1157_1320,0.069
2015_1157_1323,0.015
2015_1157_1326,0.031
2015_1157_1328,0.0615
2015_1157_1329,0.2205
2015_1157_1332,0.138
2015_1157_1344,0.1035
2015_1157_1345,0.169
2015_1157_1352,0.565
2015_1157_1361,0.224
2015_1157_1372,0.2285
2015_1157_1374,0.147
2015_1157_1385,0.2815
2015_1157_1400,0.2715
2015_1157_1411,0.742
2015_1157_1412,0.558
2015_1157_1414,0.422
2015_1157_1417,0.1575
2015_1157_1428,0.006
2015_1157_1433,0.1035
2015_1157_1434,0.205
2015_1157_1437,0.006
2015_1157_1438,0.013
2015_1157_1452,0.102
2015_1157_1455,0.0385
2015_1157_1458,0.0
2015_1157_1459,0.2355
2015_1157_1461,0.3075
2015_1157_1462,0.0885
2015_1172_1173,0.4845
2015_1172_1181,0.1485
2015_1172_1186,0.65
2015_1172_1207,0.3885
2015_1172_1208,0.4305
2015_1172_1209,0.686
2015_1172_1211,0.1605
2015_1172_1214,0.704
2015_1172_1217,0.6085
2015_1172_1231,0.538
2015_1172_1234,0.1755
2015_1172_1235,0.378
2015_1172_1242,0.395
2015_1172_1246,0.248
2015_1172_1248,0.8515
2015_1172_1257,0.3375
2015_1172_1261,0.439
2015_1172_1264,0.7105
2015_1172_1268,0.4045
2015_1172_1277,0.399
2015_1172_1279,0.4365
2015_1172_1295,0.7185
2015_1172_1301,0.3925
2015_1172_1308,0.7385
2015_1172_1314,0.285
2015_1172_1316,0.8785
2015_1172_1318,0.7995
2015_1172_1320,0.3795
2015_1172_1323,0.216
2015_1172_1326,0.377
2015_1172_1328,0.3635
2015_1172_1329,0.602
2015_1172_1332,0.4785
2015_1172_1344,0.37
2015_1172_1345,0.4465
2015_1172_1352,0.823
2015_1172_1361,0.4735
2015_1172_1372,0.607
2015_1172_1374,0.437
2015_1172_1385,0.476
2015_1172_1400,0.4835
2015_1172_1411,0.782
2015_1172_1412,0.6985
2015_1172_1414,0.733
2015_1172_1417,0.469
2015_1172_1428,0.3345
2015_1172_1433,0.377
2015_1172_1434,0.65
2015_1172_1437,0.217
2015_1172_1438,0.318
2015_1172_1452,0.346
2015_1172_1455,0.3075
2015_1172_1458,0.2715
2015_1172_1459,0.7565
2015_1172_1461,0.6685
2015_1172_1462,0.42
2015_1173_1181,0.0805
2015_1173_1186,0.6185
2015_1173_1207,0.464
2015_1173_1208,0.491
2015_1173_1209,0.602
2015_1173_1211,0.1315
2015_1173_1214,0.8
2015_1173_1217,0.5695
2015_1173_1231,0.6105
2015_1173_1234,0.54
2015_1173_1235,0.185
2015_1173_1242,0.348
2015_1173_1246,0.1745
2015_1173_1248,0.7985
2015_1173_1257,0.3275
2015_1173_1261,0.4905
2015_1173_1264,0.7865
2015_1173_1268,0.4525
2015_1173_1277,0.3555
2015_1173_1279,0.5315
2015_1173_1295,0.773
2015_1173_1301,0.4835
2015_1173_1308,0.6995
2015_1173_1314,0.2365
2015_1173_1316,0.823
2015_1173_1318,0.786
2015_1173_1320,0.3805
2015_1173_1323,0.184
2015_1173_1326,0.32
2015_1173_1328,0.337
2015_1173_1329,0.4845
2015_1173_1332,0.5805
2015_1173_1344,0.781
2015_1173_1345,0.528
2015_1173_1352,0.8555
2015_1173_1361,0.4205
2015_1173_1372,0.499
2015_1173_1374,0.4565
2015_1173_1385,0.53
2015_1173_1400,0.458
2015_1173_1411,0.8675
2015_1173_1412,0.7475
2015_1173_1414,0.7425
2015_1173_1417,0.5435
2015_1173_1428,0.302
2015_1173_1433,0.486
2015_1173_1434,0.6445
2015_1173_1437,0.062
2015_1173_1438,0.181
2015_1173_1452,0.332
2015_1173_1455,0.2415
2015_1173_1458,0.0935
2015_1173_1459,0.649
2015_1173_1461,0.66
2015_1173_1462,0.518
2015_1181_1186,0.8665
2015_1181_1207,0.8935
2015_1181_1208,0.9205
2015_1181_1209,0.961
2015_1181_1211,0.4165
2015_1181_1214,0.8735
2015_1181_1217,0.8525
2015_1181_1231,0.964
2015_1181_1234,0.872
2015_1181_1235,0.659
2015_1181_1242,0.6855
2015_1181_1246,0.414
2015_1181_1248,0.947
2015_1181_1257,0.7505
2015_1181_1261,0.828
2015_1181_1264,0.839
2015_1181_1268,0.8025
2015_1181_1277,0.782
2015_1181_1279,0.8945
2015_1181_1295,0.9375
2015_1181_1301,0.862
2015_1181_1308,0.942
2015_1181_1314,0.638
2015_1181_1316,0.9945
2015_1181_1318,0.982
2015_1181_1320,0.8085
2015_1181_1323,0.6115
2015_1181_1326,0.604
2015_1181_1328,0.7385
2015_1181_1329,0.828
2015_1181_1332,0.9255
2015_1181_1344,0.892
2015_1181_1345,0.871
2015_1181_1352,0.9875
2015_1181_1361,0.8875
2015_1181_1372,0.8425
2015_1181_1374,0.8335
2015_1181_1385,0.747
2015_1181_1400,0.738
2015_1181_1411,0.927
2015_1181_1412,0.803
2015_1181_1414,0.9675
2015_1181_1417,0.892
2015_1181_1428,0.9005
2015_1181_1433,0.7105
2015_1181_1434,0.902
2015_1181_1437,0.461
2015_1181_1438,0.4165
2015_1181_1452,0.7165
2015_1181_1455,0.7795
2015_1181_1458,0.726
2015_1181_1459,0.9465
2015_1181_1461,0.8875
2015_1181_1462,0.889
2015_1186_1207,0.299
2015_1186_1208,0.3435
2015_1186_1209,0.3415
2015_1186_1211,0.045
2015_1186_1214,0.67
2015_1186_1217,0.431
2015_1186_1231,0.2665
2015_1186_1234,0.341
2015_1186_1235,0.1205
2015_1186_1242,0.315
2015_1186_1246,0.0525
2015_1186_1248,0.675
2015_1186_1257,0.289
2015_1186_1261,0.3125
2015_1186_1264,0.5595
2015_1186_1268,0.3175
2015_1186_1277,0.256
2015_1186_1279,0.3055
2015_1186_1295,0.544
2015_1186_1301,0.3615
2015_1186_1308,0.483
2015_1186_1314,0.2055
2015_1186_1316,0.6365
2015_1186_1318,0.494
2015_1186_1320,0.2255
2015_1186_1323,0.057
2015_1186_1326,0.1385
2015_1186_1328,0.32
2015_1186_1329,0.363
2015_1186_1332,0.2795
2015_1186_1344,0.3215
2015_1186_1345,0.3435
2015_1186_1352,0.6355
2015_1186_1361,0.3565
2015_1186_1372,0.3765
2015_1186_1374,0.3195
2015_1186_1385,0.3315
2015_1186_1400,0.4675
2015_1186_1411,0.721
2015_1186_1412,0.53
2015_1186_1414,0.486
2015_1186_1417,0.324
2015_1186_1428,0.231
2015_1186_1433,0.2655
2015_1186_1434,0.3845
2015_1186_1437,0.1165
2015_1186_1438,0.125
2015_1186_1452,0.358
2015_1186_1455,0.15
2015_1186_1458,0.034
2015_1186_1459,0.468
2015_1186_1461,0.4175
2015_1186_1462,0.299
2015_1207_1208,0.5675
2015_1207_1209,0.7965
2015_1207_1211,0.16
2015_1207_1214,0.8985
2015_1207_1217,0.807
2015_1207_1231,0.599
2015_1207_1234,0.474
2015_1207_1235,0.3055
2015_1207_1242,0.356
2015_1207_1246,0.198
2015_1207_1248,0.8505
2015_1207_1257,0.398
2015_1207_1261,0.5265
2015_1207_1264,0.8165
2015_1207_1268,0.589
2015_1207_1277,0.528
2015_1207_1279,0.593
2015_1207_1295,0.852
2015_1207_1301,0.6315
2015_1207_1308,0.8425
2015_1207_1314,0.37
2015_1207_1316,0.8895
2015_1207_1318,0.8955
2015_1207_1320,0.4695
2015_1207_1323,0.272
2015_1207_1326,0.3445
2015_1207_1328,0.3385
2015_1207_1329,0.52
2015_1207_1332,0.5915
2015_1207_1344,0.413
2015_1207_1345,0.52
2015_1207_1352,0.8935
2015_1207_1361,0.4855
2015_1207_1372,0.592
2015_1207_1374,0.4885
2015_1207_1385,0.5195
2015_1207_1400,0.544
2015_1207_1411,0.933
2015_1207_1412,0.8425
2015_1207_1414,0.892
2015_1207_1417,0.593
2015_1207_1428,0.1415
2015_1207_1433,0.4885
2015_1207_1434,0.6915
2015_1207_1437,0.1265
2015_1207_1438,0.2715
2015_1207_1452,0.332
2015_1207_1455,0.3575
2015_1207_1458,0.106
2015_1207_1459,0.774
2015_1207_1461,0.6945
2015_1207_1462,0.5315
2015_1208_1209,0.7155
2015_1208_1211,0.1455
2015_1208_1214,0.868
2015_1208_1217,0.6875
2015_1208_1231,0.5055
2015_1208_1234,0.4305
2015_1208_1235,0.2285
2015_1208_1242,0.299
2015_1208_1246,0.16
2015_1208_1248,0.749
2015_1208_1257,0.179
2015_1208_1261,0.4415
2015_1208_1264,0.769
2015_1208_1268,0.397
2015_1208_1277,0.2985
2015_1208_1279,0.5535
2015_1208_1295,0.7895
2015_1208_1301,0.428
2015_1208_1308,0.687
2015_1208_1314,0.166
2015_1208_1316,0.748
2015_1208_1318,0.778
2015_1208_1320,0.4345
2015_1208_1323,0.234
2015_1208_1326,0.264
2015_1208_1328,0.3405
2015_1208_1329,0.505
2015_1208_1332,0.55
2015_1208_1344,0.385
2015_1208_1345,0.4285
2015_1208_1352,0.7525
2015_1208_1361,0.3675
2015_1208_1372,0.608
2015_1208_1374,0.3955
2015_1208_1385,0.531
2015_1208_1400,0.4395
2015_1208_1411,0.8635
2015_1208_1412,0.7795
2015_1208_1414,0.7975
2015_1208_1417,0.4505
2015_1208_1428,0.1995
2015_1208_1433,0.379
2015_1208_1434,0.6395
2015_1208_1437,0.1465
2015_1208_1438,0.1615
2015_1208_1452,0.304
2015_1208_1455,0.23
2015_1208_1458,0.117
2015_1208_1459,0.6975
2015_1208_1461,0.6905
2015_1208_1462,0.409
2015_1209_1211,0.0215
2015_1209_1214,0.754
2015_1209_1217,0.541
2015_1209_1231,0.383
2015_1209_1234,0.348
2015_1209_1235,0.2165
2015_1209_1242,0.44
2015_1209_1246,0.073
2015_1209_1248,0.804
2015_1209_1257,0.2655
2015_1209_1261,0.361
2015_1209_1264,0.7175
2015_1209_1268,0.374
2015_1209_1277,0.2495
2015_1209_1279,0.3285
2015_1209_1295,0.7065
2015_1209_1301,0.4045
2015_1209_1308,0.6565
2015_1209_1314,0.194
2015_1209_1316,0.778
2015_1209_1318,0.7215
2015_1209_1320,0.2395
2015_1209_1323,0.055
2015_1209_1326,0.095
2015_1209_1328,0.421
2015_1209_1329,0.465
2015_1209_1332,0.3825
2015_1209_1344,0.2535
2015_1209_1345,0.3675
2015_1209_1352,0.79
2015_1209_1361,0.4165
